89006,KDL DISTRIBUTION,5765450
413,KGL ELDORET,3639760
51,AMRILTILAL ELDORET WHOLESALE,2813800
43032,KDL ELDORET,1940650
170640,SUNRISE WHOLESALERS,818712
5283,MASSMART KENYA LIMITED,528158
407,KDL BUNGOMA,500230
85750,NGUKU WHOLESALERS LIMITED,424800
144984,UMIYA STORES,393024
132050,HIPAMU SUPERMARKET,355617
